title,avg_rating,count_rating,w_score,release_date
Beetlejuice,4.060505128938657,24469,3.9444609499652192,1988-02-29
Boat,4.078294535411324,20276,3.9391653548489023,2007-01-30
Sissi,3.982462161210841,56820,3.9331823339217133,1955-12-22
Monsieur Hulot s Holiday,4.0079928952042625,29839,3.9161478379160295,1953-02-26
The Sixth Sense,4.112608982343029,13649,3.912702280356035,1999-08-06
The Good Shepherd,4.042370348228964,20073,3.907368529103969,2006-12-11
A Woman a Gun and a Noodle Shop,4.199038891372374,8948,3.8993290883704477,2009-12-11
Ghost Rider,4.083448993754337,14410,3.897729680385585,2007-02-16
Stranger Than Fiction,4.105288500120375,12461,3.892099722446375,2006-09-09
Miffo,4.047098605156694,16561,3.887631522213507,2003-07-31
The Tunnel,3.94501312335958,45720,3.887276996527141,1933-10-26
Notes on a Scandal,3.9892488710278826,24137,3.8808204124269814,2006-12-25
Dead Man,4.200819672131147,7930,3.8738574425048964,1995-12-23
Boogie Nights,3.95701895277867,31130,3.8737421268516865,1997-09-11
The Bourne Supremacy,3.9781992057703217,24678,3.873223317348818,2004-07-23
Madagascar,4.016309385863267,17260,3.867396460006718,2005-05-25
Longitude,3.9786286731967944,22460,3.864623779627162,2000-01-13
The Prisoner of Zenda,3.954323444283647,27640,3.862014037852348,1979-08-17
We re No Angels,4.140864792203428,8927,3.8570118391478356,1989-12-15
Blood The Last Vampire,3.951333531997318,26846,3.8569526711345308,2000-11-18
The Dark,3.9522270706405402,24292,3.8490586073349493,2006-01-26
The Big Sleep,4.032805260798087,13382,3.8462575197435043,1946-08-23
Meet the Robinsons,4.090788177339902,10150,3.8452024107424205,2007-03-23
48 Hrs,3.884030583809391,57416,3.840879015391405,1982-12-07
My Name Is Bruce,3.9116602687140114,31260,3.833254857071383,2007-10-01
Street Kings,3.9841028819336843,16135,3.832387749209704,2008-04-10
Broken Blossoms,4.02758537371134,12416,3.830857248468707,1919-05-13
The Dreamers,3.9685589015807086,17334,3.828185053231135,2003-09-01
Loose Screws,3.919847640891219,24416,3.8211908595435093,1985-07-19
Rocky Balboa,3.9128028890959925,25752,3.8194945137998424,2006-12-20
A Brief History of Time,3.97801033249437,15098,3.818977863987749,1991-10-01
Bridge to Terabithia,3.8798484691766655,38672,3.8178612205077913,2007-02-16
Hour of the Gun,4.071118407117136,9442,3.8174038445003347,1967-11-01
Birdman of Alcatraz,4.111031797534069,7705,3.805512434518648,1962-07-03
Mere Brother Ki Dulhan,3.952353357800528,15531,3.801652193541453,2011-09-09
Zatoichi,4.004337539432177,11412,3.7998076353961165,2003-09-06
Eight Miles High,4.029441217704787,9986,3.7967679529137994,2007-02-01
Torrente 2 Mission in Marbella,4.163652229097255,6303,3.7956447668307445,2001-03-30
Pirates of the Caribbean Dead Man s Chest,3.965010863864539,13347,3.7921400795501063,2006-06-20
And Then There Were None,3.857819974760074,34073,3.7902928290854536,1945-10-31
Beverly Hills Cop III,4.05944683908046,8352,3.785828956396988,1994-05-24
The Thirteenth Floor,3.9067061793436504,18222,3.7820238099304393,1999-04-16
Nell,4.134570403867145,6413,3.780905302588872,1994-12-23
Bad Boys II,3.8578421234057223,29010,3.7797941364298153,2003-07-18
Rebecca,3.856592859331903,26104,3.7710293552793597,1940-04-12
Mothra vs Godzilla,3.83524199867398,33182,3.7682251689584803,1964-04-29
Los Olvidados,4.062516591452084,7534,3.7676302301172893,1950-11-09
Galaxy Quest,4.174582798459563,5453,3.7673439276263507,1999-12-23
Fever Pitch,3.8575790081689907,24238,3.7661339203256707,1997-04-04
Sunshine,4.001013874066168,9370,3.76491959232011,2007-04-05
Judgment Night,3.841763756945689,27895,3.7627329700940284,1993-10-15
My Best Friend s Wedding,3.8845747049654866,17964,3.761996693588692,1997-06-19
Cheerleaders Wild Weekend,3.882123362445415,18320,3.761938435838205,1979-09-01
Within the Woods,4.124958095876634,5966,3.7581315304432903,1978-11-23
Bullitt,4.059152401987852,7244,3.7573965478671085,1968-10-17
Batman Returns,3.8046486987616714,45303,3.7564691260838297,1992-06-19
Don t Worry I m Fine,4.128207350901525,5768,3.752313011691835,2006-09-06
K 19 The Widowmaker,3.860731521463043,19685,3.750848734692367,2002-07-19
Lili Marleen,3.917815818671739,12618,3.747357381030514,1981-01-14
Fools Rush In,3.827552515876893,26611,3.746800266126579,1997-02-14
Hannibal Rising,4.157241777264859,5199,3.745073238966436,2007-02-06
Nostalgia,3.871369539551358,16940,3.744906608251399,1983-05-01
The Vexxer,4.0140095991698015,7709,3.7388574866718534,2007-03-10
The Searchers,3.813140562814778,28393,3.7384802693179444,1956-03-13
The Green Mile,3.870980417840068,15269,3.733327256682768,1999-12-10
Lotte from Gadgetville,4.163554278678432,4873,3.7326902342218573,2006-08-25
Carry On Screaming,3.875769726478591,13966,3.7268853395621617,1966-05-20
Don Q Son of Zorro,3.933686176836862,9636,3.7202906862014227,1925-06-15
Asterix at the Olympic Games,3.8395848731214586,16236,3.7142379877995437,2008-01-13
Love Actually,3.8064068120759527,21961,3.713805358976988,2003-09-07
Rome Open City,3.9722507049474496,7802,3.7122800201568227,1945-09-27
Rumble Fish,4.022800552740673,6513,3.711693313715418,1983-10-20
Frankenstein Conquers the World,3.8583661273866783,13722,3.7109035102456716,1965-08-08
Superstar The Karen Carpenter Story,3.790260404374164,25422,3.7106935534098118,1988-04-30
Cars,3.821677736228163,17917,3.709094132479283,2006-06-08
Bonnie and Clyde,3.903472831918837,10251,3.7073055011122342,1967-07-18
Pandora s Box,4.135726606295817,4638,3.70436713294565,1929-01-30
Gremlins 2 The New Batch,4.074432452549312,5374,3.7030235967982406,1990-06-15
That Man from Rio,3.8064064686673924,19293,3.702962796517608,1964-02-05
The Hours,3.740689158128482,51338,3.7018878215139286,2002-12-27
End of the World,4.179980750721848,4156,3.7012304441537602,1977-08-01
The Golden Compass,3.811847176450874,17903,3.7007951026175614,2007-12-04
Meet Me in St Louis,4.024030628869339,6138,3.7003646931713114,1944-11-23
The Sicilian Clan,3.9993226971703795,6644,3.7003267623831047,1969-12-01
Dancer in the Dark,3.7955110396256764,20517,3.698926010448941,2000-05-17
The Great Dictator,3.8657703978422115,11864,3.6987832014798627,1940-10-15
The Chronicles of Riddick Dark Fury,3.7876934313233215,21907,3.697469081748899,2004-06-15
Cold Mountain,3.9304074863776357,8442,3.6966246629205783,2003-12-24
Star 80,3.8365225523343645,13901,3.6949647395593757,1983-11-11
In Time,3.8637810859650634,11621,3.69456907479341,2011-10-27
The Motorcycle Diaries,3.7787658024426825,23335,3.69450637567418,2004-02-06
Mission Impossible,3.988410348437266,6687,3.694422113359209,1996-05-22
The Garden of Eden,3.7872777671573314,20924,3.693480684242128,2008-01-01
Torrente the Dumb Arm of the Law,4.044536602957086,5546,3.6917490045894197,1998-03-13
Edward Scissorhands,3.9874383477188657,6488,3.6879292964883525,1990-12-05
Reality Bites,3.9865224886381445,6381,3.684092098238692,1994-02-18
The Mourning Forest,3.974882379723782,6589,3.682724307899337,2007-05-24
The Remains of the Day,3.960110240789092,6894,3.681498743881037,1993-11-05
Ken Park,3.8989619377162628,8670,3.6785932563579995,2002-08-31
Ocean s Eleven,3.7437502173081603,28761,3.677458010953019,2001-12-07
Flags of Our Fathers,4.009458749343143,5709,3.676236868310453,2006-10-18
Edward My Son,3.969538797133063,6418,3.6742239201444176,1949-06-02
Kindergarten Cop,4.100112485939258,4445,3.673939720321388,1990-12-21
The City of Lost Children,3.821982549684925,12378,3.6700420022736826,1995-05-16
My Sweet Little Village,3.9952290076335877,5764,3.66935693703552,1985-08-01
2001 A Space Odyssey,3.750324282255275,23128,3.6691423063687445,1968-04-10
A Bridge Too Far,3.834838594294912,11183,3.6674665221088683,1977-06-15
Secret Agent,3.8422396670765155,10573,3.6657713660311826,1936-06-12
Straw Dogs,3.999460625674218,5562,3.664687012929552,1971-12-29
What s New Pussycat,3.9886264216972878,5715,3.6635253943714097,1965-06-22
Prime,3.8976809378185524,7848,3.6617355844475687,2005-09-21
Hollywoodland,3.838854548966583,10354,3.6604495047363073,2006-08-31
Closer,3.8262395392783226,11113,3.660122179511422,2004-12-01
The Poseidon Adventure,3.736994591810456,23298,3.6580659997345246,1972-12-01
Bean,4.048314846416382,4688,3.656918117246503,1997-07-03
Windows on Monday,3.7710813023490144,15879,3.655778857557371,2006-02-10
Monsieur Ibrahim,3.750168002067718,19345,3.6555630178331366,2003-12-03
Red River,4.114849481406527,3953,3.6536059316333778,1948-08-26
Mission Impossible II,4.026267375306623,4892,3.653577792421407,2000-05-24
Silent Hill,3.6875235732009926,50375,3.6514767852947796,2006-04-21
The Bank Dick,4.043916720884841,4611,3.6506974449323173,1940-11-29
Ice Age The Meltdown,4.150082690187431,3628,3.650505862518947,2006-03-23
Jacob s Ladder,3.722711513171004,25093,3.6504845821038883,1990-11-02
The Bourne Identity,3.850718232044199,9050,3.6504625912153763,2002-06-14
Mission to Mars,3.9204477163461537,6656,3.6489559057013374,2000-03-10
On Guard,3.754392170734583,16962,3.648044694007931,1997-12-03
The Bachelor,3.8559174684131214,8627,3.647174497697135,1999-11-05
Gravity,3.811192325262677,10945,3.646783157304446,2010-03-24
Downhill Racer,3.802062656425304,11587,3.646767588701358,1969-11-06
Arlington Road,3.701458760206734,32699,3.6464620767580134,1999-03-19
While You Were Sleeping,3.8658521381373894,8021,3.643109098871664,1995-04-21
Mr Smith Goes to Washington,3.988116458704694,5049,3.6378789918630234,1939-10-19
Monsoon Wedding,3.6602380472059712,74355,3.6365194152213967,2001-08-30
Breaking and Entering,3.8807064079296385,7163,3.635159959057826,2006-12-15
Saw II,3.8925692510625822,6823,3.6349132145323586,2005-10-28
To Kill a Mockingbird,3.677421699004433,41283,3.634843772929004,1962-12-25
Dollman vs Demonic Toys,3.846417445482866,8025,3.629646547529902,1993-10-13
3 Iron,4.114931237721022,3563,3.628156197098889,2004-10-15
The Butterfly Effect,3.7267862226017647,17565,3.6280639282241838,2004-01-22
Two Brothers,3.73411089627643,16033,3.626332663400426,2004-04-07
Space Jam,3.854337476857974,7562,3.6259856954437883,1996-11-15
The Traveler,3.768272493998841,12081,3.6254830014951995,1974-01-01
Light of Day,3.690492073457856,25484,3.6231243452466178,1987-02-06
Aelita Queen of Mars,4.013482632541133,4376,3.6220326630521025,1924-09-24
Killer,3.8366079350995057,7889,3.620257990273697,1998-01-01
Cockles and Muscles,3.669152701003188,34191,3.6193285529361288,2005-03-30
Interview with the Vampire,3.752637379940167,12702,3.618695751471828,1994-11-11
The Killing,3.8197315923104824,8271,3.615418252047416,1956-05-08
Broken Flowers,3.900405131667792,5924,3.6152469421401427,2005-05-17
Wish You Were Here,3.8002267573696145,8820,3.6105566642049927,1987-07-24
Forces of Nature,3.706766917293233,17290,3.610103669766233,1999-03-12
Indochine,4.107632677400119,3354,3.6097246782451937,1992-04-15
Lucky You,4.0499075785582255,3787,3.609311154225832,2007-05-01
Best Worst Movie,3.7926313446126447,8984,3.607580875770363,2009-01-01
Aguirre The Wrath of God,3.6902028034595884,20118,3.607567938559849,1972-12-29
Torrente 3 The Protector,3.73295631825273,12820,3.604198448656195,2005-09-30
Barton Fink,3.9872484791764156,4274,3.6024579226663196,1991-08-01
Jarhead,3.6675128965433204,24619,3.6009281413337497,2005-11-04
Metamorphosis,3.782091039982279,9029,3.600646233405264,1990-08-07
School of Rock,3.6672594142259416,23900,3.598959350352541,2003-10-03
Notting Hill,3.6868004109663115,18493,3.5985988252809613,1999-05-13
Dogville,3.6939798302791784,16262,3.5945480644513226,2003-05-19
Cutthroat Island,3.710181451612903,13888,3.5939127507903343,1995-12-22
Rocky IV,3.6841076487252127,17650,3.5928344314497602,1985-11-21
Yella,3.9671498714051907,4277,3.591544326412652,2007-02-14
Amélie,3.842241379310345,6380,3.59083358501159,2001-04-25
La Chienne,3.983067484662577,4075,3.59008992861318,1931-11-20
Muxmäuschenstill,3.6547724884829873,24746,3.590063408794943,2004-01-28
The Mystery of Chess Boxing,3.73027474462839,11356,3.5894539085837813,1979-01-01
Righteous Ties,3.8094713656387666,7264,3.5893651724039706,2006-10-19
My Darling Clementine,3.998970398970399,3885,3.5883439924767493,1946-12-03
The Science of Sleep,3.6615217792543375,21672,3.587971479217328,2006-02-11
The Magnificent Ambersons,3.9818948412698414,4032,3.5872163293852397,1942-07-10
The Crazy Family,3.896769799571901,5139,3.5871527953488367,1984-06-24
Letters from Iwo Jima,4.022185702547247,3651,3.586758572904411,2006-12-19
The Ewok Adventure,3.7386472965172213,10394,3.5859655706222324,1985-02-13
The Soft Skin,3.9827194752774973,3964,3.5840559751786634,1964-05-05
Princesses,3.666859547606523,19010,3.5837801905317073,2005-09-02
Brothers,3.7951669359181475,7428,3.582941699324968,2009-01-27
Shiloh,3.853304347826087,5750,3.5805807840593085,1996-11-30
Dogtown and Z Boys,3.689040905618446,14399,3.5802206838330184,2001-01-18
Sweet November,3.720357941834452,11175,3.5801614754913444,2001-02-16
Star Wars,3.6605905006418484,19475,3.5801466620671274,1977-05-25
Comanche Station,3.6792932502860047,15734,3.579799698961266,1960-03-01
Terminator Salvation,3.8892624085426144,5057,3.5797437259306073,2009-05-20
Apocalypse Now,4.039876397881106,3398,3.5794963074505115,1979-08-15
American Graffiti,3.7496720594665502,9148,3.5788948291926337,1973-08-01
Sicko,3.781766159448563,7689,3.578680889552477,2007-05-18
Rosemary s Baby,3.691940885264997,13736,3.5783452304546444,1968-06-12
Totally Blonde,4.033479532163743,3420,3.577796964286997,2001-01-01
Voyage to the Bottom of the Sea,3.740125720272394,9545,3.5771062253955455,1961-07-12
300,3.7260789803997296,10357,3.5761596912588036,2006-12-09
The Mikado,3.8420229405630866,5754,3.573679432047345,1987-01-01
The Forbidden Kingdom,3.685966201322557,13610,3.5727541629162776,2008-04-18
Escape from New York,3.7890580936266214,7092,3.5721128919578526,1981-05-22
Stand by Me,3.658548396285535,17553,3.57109739493355,1986-08-22
Postal,3.8367664877964343,5777,3.5710696651515983,2007-08-11
Caesar Must Die,3.8701923076923075,5096,3.5698354620232644,2012-02-11
Because I Said So,3.830228981544771,5852,3.5691083322655563,2007-02-02
An Unfinished Life,3.718650159744409,10016,3.566867951537953,2005-09-09
True Romance,3.754095331937431,8119,3.566854905938915,1993-09-09
Charlie s Angels,3.9163025982984596,4349,3.566796635345468,2000-11-02
Brake,3.7536633419529615,8121,3.566585102772965,2012-03-22
This Is 40,3.854154836267272,5283,3.5665815162345544,2012-12-20
Dr Jekyll and Mr Hyde,3.7215985864255274,9621,3.56445943908313,1920-03-18
Lethal Weapon 2,4.06918449197861,2992,3.5641975780454898,1989-07-07
Gerry,3.8780539621839814,4707,3.5601005574684708,2002-01-12
Carry On Doctor,3.7887950882578663,6515,3.55943496240183,1967-12-02
Batman Begins,3.737873357228196,8370,3.5593715885034674,2005-06-10
Murder My Sweet,3.870835952231301,4773,3.558471555098398,1944-12-09
Wayne s World 2,3.859748682610458,4934,3.557947821695749,1993-12-10
The Beach,3.6917851358646754,11114,3.557837090574038,2000-02-11
Sunset Boulevard,3.981740370898716,3505,3.5574202222791675,1950-08-10
Woman of the Lake,3.9600379301002437,3691,3.557255964214374,1966-08-27
Cube,3.6981391816196716,10533,3.557060245507702,1997-09-09
Don t Come Knocking,3.6411710252256424,17284,3.555509854348749,2005-05-19
Changing Lanes,3.873971416197488,4618,3.5542879079473653,2002-04-07
Die Hard,3.763978263978264,6993,3.5533406426829384,1988-07-15
Summer 04,3.815186246418338,5584,3.5521461864865316,2006-10-11
Out of the Past,4.0728759331674365,2813,3.551511487868243,1947-11-13
The Cave of the Yellow Dog,3.6096094900680704,25121,3.551262725991006,2005-07-27
Read It and Weep,3.75679117147708,7068,3.550026761696627,2006-07-21
Frankenstein Created Woman,3.802032661570535,5756,3.5488521537425064,1967-03-15
Saving Grace,4.093785099213777,2671,3.5485616162223326,2000-01-24
The Out of Towners,3.7217049576783556,8270,3.5464877549505633,1999-04-02
Waiter,3.616070567820303,20746,3.546261629703522,2006-09-28
Tomorrow Never Dies,3.89378489924739,4119,3.5440537846373785,1997-12-11
Don t Make Waves,3.6202672605790647,18858,3.543905754869292,1967-06-20
The Dawn Patrol,3.767281826712543,6394,3.5427165448014155,1930-08-20
Rope,3.5733178489322874,42193,3.5395491181629577,1948-08-23
Bandyta,3.654817548175482,12195,3.5383313352001067,1997-01-01
TMNT,4.011166666666667,3000,3.5380166700063813,2007-03-23
10 Items or Less,4.081793687451886,2598,3.53691399121564,2006-09-11
Herr Lehmann,3.8561675011379153,4394,3.5352915453849536,2003-10-01
Human Nature,3.6814545454545455,9625,3.5350544753855107,2001-05-18
The Rapture,3.7314265536723163,7080,3.533277785818479,1991-10-04
Flashdance,3.7706952235254123,5883,3.532620153110596,1983-04-14
Mirror,3.6325995043009187,13718,3.5309306784698538,1975-03-07
Aliens vs Predator Requiem,3.597259658580413,20034,3.5281315147054735,2007-12-25
Catwoman,3.850407450523865,4295,3.528036751705967,2004-07-22
The Island,3.7419760855884205,6356,3.5255205843456148,2005-07-20
Reign Over Me,3.5814566559038705,24467,3.5252629628511145,2007-03-23
Bagdad Cafe,3.882928739232576,3831,3.524624925142999,1987-11-12
The Lady Vanishes,3.8265800484474783,4541,3.5244402663025136,1938-07-26
The Glass House,3.91044776119403,3551,3.524255145878866,2001-09-14
Enough,3.6952041963282127,8007,3.524030732791409,2002-05-24
Olga s House of Shame,3.7056248341735207,7538,3.5238739509134898,1964-02-06
Buddenbrooks,3.810056449926824,4783,3.5237256731692725,2008-12-25
Alien,3.6826607226654153,8524,3.5224976827445484,1979-05-25
Speed 2 Cruise Control,3.6072096794312087,16034,3.5221413908216714,1997-06-13
Zodiac,4.1106040851803565,2301,3.5204273920907427,2007-03-02
The Endless Summer,3.572137060414788,25507,3.519081289195037,1966-06-15
Sister Act,3.6238549914609535,12882,3.5188615305320923,1992-05-28
The Big Parade,3.758709562744401,5626,3.518517144201346,1925-11-05
Miami Vice,4.010845588235294,2720,3.516555513805954,2006-07-27
Finding Neverland,3.7141895933014353,6688,3.514326803874309,2004-10-17
The Shipping News,3.819097778795512,4367,3.5135956456960407,2001-12-18
The Pawnshop,3.6344361177115703,10942,3.512771903994752,1916-10-02
Rise of the Zombies,3.9837168141592922,2825,3.5126404778893834,2012-10-27
The Terminal,3.5779943600653046,20213,3.512227405288248,2004-06-17
Eyes Wide Shut,3.623891919536311,11732,3.5109598610048365,1999-07-14
The Door in the Floor,3.93423163298043,3117,3.5101156670429354,2004-07-18
Frankenstein,3.814101084698823,4333,3.5095023063943676,1910-03-18
Reclaim Your Brain,3.6592524650309564,8722,3.5083803477207747,2007-09-11
The Lord of the Rings,3.9857716161984675,2741,3.5071971276845186,1978-11-15
Horrible Bosses,3.7012285375962106,6756,3.507109665719081,2011-07-08
Farewell Friend,3.893162393162393,3393,3.506878761062821,1968-08-14
The Elephant Man,3.7336578581363002,5752,3.50620526635742,1980-10-02
Tron,3.984981684981685,2730,3.5060047963764,1982-07-09
Barry Lyndon,3.586550320670942,16216,3.5059296721269337,1975-12-18
Leon The Professional,3.7760838000414854,4821,3.505336586771472,1994-09-14
The Projected Man,3.6424443043295502,9516,3.505293905493354,1966-01-01
Ask the Dust,3.6333971195487966,9929,3.502821516500837,2006-02-02
Heart of the Country,3.7064328405158853,6358,3.5026261852339102,2013-08-19
The King of Comedy,3.7620197143431904,4971,3.501875136056072,1982-12-18
Deep Blue Sea,3.8239630184907547,4002,3.501317091129357,1999-07-28
MouseHunt,3.8806717737183263,3394,3.500780024345573,1997-12-19
Godzilla,3.7174132704614347,5938,3.5004636073376703,1954-11-03
André Hazes Zij Gelooft in Mij,3.5859872611464967,14130,3.4959357602609784,2000-01-27
Frankenstein Unbound,3.629054195438376,9558,3.4959295002748614,1990-11-02
Gloomy Sunday,3.7835331372992536,4421,3.4958145059492893,1999-10-21
One Night at McCool s,3.6182582640634062,10346,3.4954387094963395,2001-04-19
Avalon,3.5715316615551145,16629,3.495173268714465,1990-10-05
Death Watch,3.585311305100642,13861,3.4940000836476037,1980-01-23
Beat,3.731188863807374,5316,3.4934587222964693,2000-01-29
Three Step Dance,3.6969893169310457,6178,3.4928009937847593,2003-08-31
Cat on a Hot Tin Roof,3.597093071961129,11937,3.491729051746341,1958-02-17
Hulk,3.932641575800211,2843,3.4910637311714803,2003-06-19
Black Rain,3.694737696930323,6157,3.490920198500377,1989-09-22
Aces Go Places V The Terracotta Hit,3.8153945666235445,3865,3.4908100032189266,1989-01-01
42nd Street,3.8997703412073492,3048,3.4895858405465523,1933-02-02
Sabrina,3.789404132628544,4162,3.489272532156984,1954-09-28
The Lost Continent,4.08604206500956,2092,3.48914616557833,1968-06-19
Harry Potter and the Philosopher s Stone,3.6580491132332877,7330,3.4881624431056966,2001-11-16
Terminator 2 Judgment Day,3.7178208505833648,5314,3.4853394322858646,1991-07-01
Twin Peaks Fire Walk with Me,3.527879978567601,27995,3.483926750199672,1992-06-03
Dog Day Afternoon,3.613718603661132,9396,3.4830775226681125,1975-08-11
Far from the Madding Crowd,4.065651760228354,2102,3.4825534600392145,1967-01-01
The Village,3.6314118221787983,8188,3.4819696152722557,2004-07-30
Married to the Mob,3.559651474530831,15666,3.48162155407089,1988-08-19
Felidae,3.725541299117883,4988,3.480944216049357,1994-11-03
Cleopatra Jones and the Casino of Gold,3.710382513661202,5307,3.4806691041368327,1975-07-11
Wuthering Heights,4.0721599219892735,2051,3.4795975782151634,1970-06-09
Mad Dog Coll,3.6462978254885767,7266,3.479216402878068,1961-05-12
Rain Man,3.501833838303301,50168,3.4777378442707367,1988-12-11
Psycho,3.5162202094173574,31134,3.477427750295642,1960-06-16
Donnie Darko,3.5228261714196907,25738,3.4760833288298167,2001-01-18
Laura,4.084093211752786,1974,3.4755610394834187,1944-10-11
Young Frankenstein,3.682266435986159,5780,3.474861723531609,1974-12-15
Back to the Future Part II,3.5035240874468294,40436,3.4739555529888007,1989-11-20
Joe Versus the Volcano,3.749020059949274,4337,3.4736135071368746,1990-03-09
Monsieur Batignole,3.8894113549285962,2871,3.473506261263109,2002-03-06
X Men Origins Wolverine,3.5711653427237735,12211,3.4734076620961387,2009-04-28
That Most Important Thing Love,3.677532511978097,5844,3.4733205521308483,1975-02-12
The Halliday Brand,3.9282159264931087,2612,3.472464321086088,1957-01-01
Baise moi,4.135569334836528,1774,3.4697924468824626,2000-06-28
Addicted to Love,3.5833823529411766,10200,3.4681514737828385,1997-05-23
The Powerpuff Girls Movie,3.935214626391097,2516,3.4681141887729106,2002-07-03
Circle of Love,3.7694980694980695,3885,3.467524889099506,1964-10-16
The Yes Men,3.6131213221484915,7987,3.4666288631182005,2003-09-07
Rush Hour,3.606979542719615,8310,3.4663136152499567,1998-09-18
Wedlock,3.6337703500936462,6941,3.46567951965418,1991-05-10
Once in a Lifetime The Extraordinary Story of the New York Cosmos,3.6130211674150097,7795,3.46406816062712,2006-01-01
Live and Let Die,3.5019296811120197,30575,3.4639662286810053,1973-07-05
The Bow,3.930237233614797,2487,3.463779536464593,2005-05-12
Night on Earth,3.5089935090326114,25574,3.4636495590202023,1991-10-03
A Nightmare on Elm Street,3.4874077814860356,45544,3.46206747961139,1984-11-14
The Hidden Fortress,3.5556464142611826,12229,3.4614491472058053,1958-12-28
The Goddess,3.534145722264534,15756,3.461109863566761,1958-06-24
Valley of Flowers,3.9974358974358974,2145,3.4610506937092,2006-07-15
Last Tango in Paris,3.8609756097560974,2870,3.4606167151210654,1972-10-14
Romeo Juliet,3.501918789517927,27361,3.460002095352666,1996-10-31
American History X,3.794658493870403,3426,3.4599515378605505,1998-10-30
The Prestige,3.6876861966236345,5035,3.459944265510674,2006-10-19
Persepolis,3.5054908485856906,24040,3.4580650927836856,2007-05-23
North by Northwest,4.030478589420655,1985,3.457357934527166,1959-07-07
Minority Report,3.574297399328859,9536,3.455630374348604,2002-06-20
The War of the Roses,3.672367149758454,5175,3.454477280787126,1989-12-08
Air Eating Sleeping Waiting and Playing,3.9028388644542185,2501,3.4534384219135648,1999-12-13
Top of the Food Chain,3.556726168568274,10868,3.453339598914303,1999-09-11
Bringing Up Baby,3.793858315597446,3289,3.4528030683032727,1938-02-18
Lawrence of Arabia,4.035639958376691,1922,3.4525227393344355,1962-12-10
Star Trek II The Wrath of Khan,3.795300982800983,3256,3.451831558222086,1982-06-03
Swept from the Sea,3.6369782971619364,5990,3.4508501499069397,1998-01-23
The Breakfast Club,3.595860991800078,7683,3.4507795300700947,1985-02-15
Don t Look Now,3.8992747784045125,2482,3.4505292432289294,1973-12-03
The Return of the King,4.06750700280112,1785,3.448164857863044,1980-05-11
The Legend of Paul and Paula,3.59250262605042,7616,3.4476023557298454,1973-03-14
Kiss of the Dragon,3.5640557939914164,9320,3.446180887144129,2001-07-06
Pepi Luci Bom,3.6822826086956524,4600,3.444633256528137,1980-10-27
8 Women,3.6341785525620707,5679,3.4428061934946186,2002-01-08
A Time to Kill,3.516589990241182,14346,3.441219781145945,1996-07-24
Samaritan Girl,3.84110247872734,2703,3.441158767700658,2004-02-10
Keeping the Faith,3.9432242990654207,2140,3.4399823656657027,2000-04-14
Contempt,3.500140189536253,17833,3.43978809065061,1963-10-21
FC Venus,3.8028862478777588,2945,3.438711041139255,2006-04-26
Dances with Wolves,3.9857142857142858,1960,3.43864326738924,1990-11-09
The Last Laugh,3.535867286482545,10971,3.4382551194408104,1924-12-23
Adam s Apples,3.743119266055046,3488,3.437175606818791,2005-04-15
Dreamgirls,3.6077936869508624,6146,3.4352551558836737,2006-12-25
Woman in the Moon,3.9069042316258353,2245,3.434981642797699,1929-10-14
Big Time,3.8310176492677432,2663,3.434198390671686,1988-09-15
Heat,3.8700331125827816,2416,3.433563344222721,1995-12-15
